"U.S. Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Fossil fuel combustion: carbon dioxide",1468.943894,1422.327405,1477.643426,1508.607034,1553.947354,1580.677858,1627.363105,1643.515554,1678.920338,1746.344324,1792.201892,1762.464068,1803.018344,1811.984287,1845.220711,1858.552169,1859.133006,1860.737498,1759.681324,1688.480574,1696.614523,1670.37756,1659.401331,1669.04592,1707.34673,1718.381161,1757.906545,1780.307824,1813.134649,1816.635674,1572.820206,1753.545925,1751.286417
"Use of fluorinated gases",0,0,1.062711,4.63580172,11.28462027,17.84318846,25.81393263,34.05063544,39.81815585,45.67699666,51.12716589,56.44084428,58.70220347,60.27333079,62.07403619,63.09025865,64.0526205,64.86386933,65.50111029,64.79744859,62.10969667,57.03578501,52.25534566,47.26422871,44.73323932,42.5778097,39.85960599,37.03140092,35.54948078,34.03056948,32.51985206,31.24420154,29.57323482
"Fossil fuel combustion: other greenhouse gases",40.63755342,41.85314381,44.26014427,45.98275312,47.82167021,49.30010845,50.449759,51.34955939,51.80951257,49.34731592,48.34655311,45.47717818,43.56042366,41.30102871,38.63818835,34.0957427,33.24044584,31.34856252,28.75427473,27.1975264,26.01348491,24.98380601,22.75516547,20.81189301,18.86512367,17.50271609,16.34424345,15.03426467,13.70934866,15.05466205,12.1665516,12.67467949,12.2271427
"Transportation non-energy use",11.83867526,10.59090579,10.79788081,10.99503512,11.49199042,11.29470158,10.96133525,11.57943518,12.12199628,12.24879118,12.06508992,11.05429576,10.92333041,10.09879359,10.2311715,10.17769567,9.915832241,10.23984871,9.506590763,8.54705268,10.41083685,9.980272303,9.108246246,9.643206384,10.04679759,10.95151453,10.38245094,9.550514938,9.214390732,8.833871494,7.776866136,8.007114917,8.434114409
"Gross total",1521.4201226799998,1474.7714546,1533.76416208,1570.2206239600002,1624.5456349,1659.11585649,1714.58813188,1740.49518401,1782.6700027,1853.6174277599998,1903.74070092,1875.43638622,1916.2043015400002,1923.6574400900001,1956.16410704,1965.91586602,1966.341904581,1967.18977856,1863.443299783,1789.0226016699999,1795.1485414299998,1762.377423323,1743.520088376,1746.765248104,1780.99189058,1789.4132013199999,1824.49284538,1841.924004528,1871.6078691720002,1874.554777024,1625.2834757960002,1805.471920947,1801.520908929
